starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 14 09:20:45 2012	1342237845	0	6	6	6
Sat Jul 14 09:16:44 2012	1342237604	0	6	6	6
Sat Jul 14 09:20:51 2012	1342237851	0	6	6	6
Sat Jul 14 09:21:22 2012	1342237882	0	6	6	6
Sat Jul 14 09:20:34 2012	1342237834	0	6	6	6
Sat Jul 14 09:18:48 2012	1342237728	0	6	6	6
Sat Jul 14 09:22:39 2012	1342237959	0	6	6	6
Sat Jul 14 09:18:52 2012	1342237732	0	6	6	6
Sat Jul 14 09:20:24 2012	1342237824	0	6	6	6
Sat Jul 14 09:18:48 2012	1342237728	0	6	6	6
Sat Jul 14 09:22:21 2012	1342237941	0	6	6	6
Sat Jul 14 09:21:33 2012	1342237893	0	6	6	6
Sat Jul 14 09:18:33 2012	1342237713	0	6	6	6
Sat Jul 14 09:21:32 2012	1342237892	0	6	6	6
Sat Jul 14 09:18:25 2012	1342237705	0	6	6	6
Sat Jul 14 09:18:39 2012	1342237719	0	6	6	6
Sat Jul 14 09:22:16 2012	1342237936	0	6	6	6
Sat Jul 14 09:16:45 2012	1342237605	0	6	6	6
Sat Jul 14 09:16:47 2012	1342237607	0	6	6	6
Sat Jul 14 09:16:43 2012	1342237603	0	6	6	6
Sat Jul 14 09:22:08 2012	1342237928	0	6	6	6
Sat Jul 14 09:19:40 2012	1342237780	0	6	6	6
Sat Jul 14 09:16:46 2012	1342237606	0	6	6	6
Sat Jul 14 09:21:26 2012	1342237886	0	6	6	6
Sat Jul 14 09:19:58 2012	1342237798	0	6	6	6
Sat Jul 14 09:20:33 2012	1342237833	0	6	6	6
Sat Jul 14 09:17:27 2012	1342237647	0	6	6	6
Sat Jul 14 09:20:30 2012	1342237830	0	6	6	6
Sat Jul 14 09:18:28 2012	1342237708	0	6	6	6
Sat Jul 14 09:17:33 2012	1342237653	0	6	6	6
Sat Jul 14 09:20:21 2012	1342237821	0	6	6	6
Sat Jul 14 09:18:44 2012	1342237724	0	6	6	6
Sat Jul 14 09:18:41 2012	1342237721	0	6	6	6
Sat Jul 14 09:21:21 2012	1342237881	0	6	6	6
Sat Jul 14 09:20:08 2012	1342237808	0	6	6	6
Sat Jul 14 09:18:26 2012	1342237706	0	6	6	6
Sat Jul 14 09:18:22 2012	1342237702	0	6	6	6
Sat Jul 14 09:20:30 2012	1342237830	0	6	6	6
Sat Jul 14 09:20:32 2012	1342237832	0	6	6	6
Sat Jul 14 09:17:35 2012	1342237655	0	6	6	6
Sat Jul 14 09:21:47 2012	1342237907	0	6	6	6
Sat Jul 14 09:18:44 2012	1342237724	0	6	6	6
Sat Jul 14 09:20:26 2012	1342237826	0	6	6	6
Sat Jul 14 09:20:05 2012	1342237805	0	6	6	6
Sat Jul 14 09:20:12 2012	1342237812	0	6	6	6
Sat Jul 14 09:17:24 2012	1342237644	0	6	6	6
Sat Jul 14 09:18:41 2012	1342237721	0	6	6	6
Sat Jul 14 09:19:40 2012	1342237780	0	6	6	6
Sat Jul 14 09:19:40 2012	1342237780	0	6	6	6
Sat Jul 14 09:17:03 2012	1342237623	0	6	6	6
Sat Jul 14 09:18:44 2012	1342237724	0	6	6	6
Sat Jul 14 09:21:29 2012	1342237889	0	6	6	6
Sat Jul 14 09:19:00 2012	1342237740	0	6	6	6
Sat Jul 14 09:22:07 2012	1342237927	0	6	6	6
Sat Jul 14 09:19:32 2012	1342237772	0	6	6	6
Sat Jul 14 09:18:56 2012	1342237736	0	6	6	6
Sat Jul 14 09:19:05 2012	1342237745	0	6	6	6
Sat Jul 14 09:18:32 2012	1342237712	0	6	6	6
Sat Jul 14 09:22:35 2012	1342237955	0	6	6	6
Sat Jul 14 09:18:54 2012	1342237734	0	6	6	6
Sat Jul 14 09:17:30 2012	1342237650	0	6	6	6
Sat Jul 14 09:18:13 2012	1342237693	0	6	6	6
Sat Jul 14 09:21:48 2012	1342237908	0	6	6	6
Sat Jul 14 09:18:56 2012	1342237736	0	6	6	6
Sat Jul 14 09:18:54 2012	1342237734	0	6	6	6
Sat Jul 14 09:22:05 2012	1342237925	0	6	6	6
Sat Jul 14 09:22:00 2012	1342237920	0	6	6	6
Sat Jul 14 09:19:49 2012	1342237789	0	6	6	6
Sat Jul 14 09:18:16 2012	1342237696	0	6	6	6
Sat Jul 14 09:22:08 2012	1342237928	0	6	6	6
Sat Jul 14 09:20:12 2012	1342237812	0	6	6	6
Sat Jul 14 09:22:25 2012	1342237945	0	6	6	6
Sat Jul 14 09:20:24 2012	1342237824	0	6	6	6
Sat Jul 14 09:18:48 2012	1342237728	0	6	6	6
Sat Jul 14 09:19:01 2012	1342237741	0	6	6	6
Sat Jul 14 09:21:55 2012	1342237915	0	6	6	6
Sat Jul 14 09:22:28 2012	1342237948	0	6	6	6
Sat Jul 14 09:17:28 2012	1342237648	0	6	6	6
Sat Jul 14 09:20:30 2012	1342237830	0	6	6	6
Sat Jul 14 09:21:16 2012	1342237876	0	6	6	6
Sat Jul 14 09:20:19 2012	1342237819	0	6	6	6
Sat Jul 14 09:19:10 2012	1342237750	0	6	6	6
Sat Jul 14 09:18:00 2012	1342237680	0	6	6	6
Sat Jul 14 09:22:32 2012	1342237952	0	6	6	6
Sat Jul 14 09:18:36 2012	1342237716	0	6	6	6
Sat Jul 14 09:22:09 2012	1342237929	0	6	6	6
Sat Jul 14 09:17:30 2012	1342237650	0	6	6	6
Sat Jul 14 09:20:22 2012	1342237822	0	6	6	6
Sat Jul 14 09:17:04 2012	1342237624	0	6	6	6
Sat Jul 14 09:18:02 2012	1342237682	0	6	6	6
Sat Jul 14 09:20:33 2012	1342237833	0	6	6	6
Sat Jul 14 09:21:50 2012	1342237910	0	6	6	6
Sat Jul 14 09:22:11 2012	1342237931	0	6	6	6
Sat Jul 14 09:17:37 2012	1342237657	0	6	6	6
Sat Jul 14 09:21:24 2012	1342237884	0	6	6	6
Sat Jul 14 09:20:33 2012	1342237833	0	6	6	6
Sat Jul 14 09:18:57 2012	1342237737	0	6	6	6
Sat Jul 14 09:19:33 2012	1342237773	0	6	6	6
Sat Jul 14 09:17:05 2012	1342237625	0	6	6	6
Sat Jul 14 09:17:45 2012	1342237665	0	6	6	6
Sat Jul 14 09:20:36 2012	1342237836	0	6	6	6
Sat Jul 14 09:16:45 2012	1342237605	0	6	6	6
Sat Jul 14 09:19:13 2012	1342237753	0	6	6	6
Sat Jul 14 09:20:27 2012	1342237827	0	6	6	6
Sat Jul 14 09:17:34 2012	1342237654	0	6	6	6
Sat Jul 14 09:19:02 2012	1342237742	0	6	6	6
Sat Jul 14 09:22:11 2012	1342237931	0	6	6	6
Sat Jul 14 09:20:34 2012	1342237834	0	6	6	6
Sat Jul 14 09:22:29 2012	1342237949	0	6	6	6
Sat Jul 14 09:19:47 2012	1342237787	0	6	6	6
Sat Jul 14 09:21:00 2012	1342237860	0	6	6	6
Sat Jul 14 09:19:02 2012	1342237742	0	6	6	6
Sat Jul 14 09:18:52 2012	1342237732	0	6	6	6
Sat Jul 14 09:21:44 2012	1342237904	0	6	6	6
Sat Jul 14 09:20:52 2012	1342237852	0	6	6	6
Sat Jul 14 09:22:38 2012	1342237958	0	6	6	6
Sat Jul 14 09:22:03 2012	1342237923	0	6	6	6
Sat Jul 14 09:21:45 2012	1342237905	0	6	6	6
Sat Jul 14 09:20:47 2012	1342237847	0	6	6	6
Sat Jul 14 09:18:45 2012	1342237725	0	6	6	6
Sat Jul 14 09:22:01 2012	1342237921	0	6	6	6
Sat Jul 14 09:22:13 2012	1342237933	0	6	6	6
Sat Jul 14 09:18:17 2012	1342237697	0	6	6	6
Sat Jul 14 09:22:05 2012	1342237925	0	6	6	6
Sat Jul 14 09:18:15 2012	1342237695	0	6	6	6
Sat Jul 14 09:18:51 2012	1342237731	0	6	6	6
Sat Jul 14 09:20:51 2012	1342237851	0	6	6	6
Sat Jul 14 09:18:28 2012	1342237708	0	6	6	6
Sat Jul 14 09:18:17 2012	1342237697	0	6	6	6
Sat Jul 14 09:20:17 2012	1342237817	0	6	6	6
Sat Jul 14 09:18:37 2012	1342237717	0	6	6	6
Sat Jul 14 09:20:28 2012	1342237828	0	6	6	6
Sat Jul 14 09:21:51 2012	1342237911	0	6	6	6
Sat Jul 14 09:20:23 2012	1342237823	0	6	6	6
Sat Jul 14 09:16:48 2012	1342237608	0	6	6	6
